English (en),Italian (it),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
acres,acri,0,0,0,0,0,0,0,0,0,0
acrobat,acrobata,1,0,0,0,0,1,1,0,0,1
act,atto,0,0,0,0,0,0,0,0,0,0
acting,recitazione,0,0,0,0,0,0,0,0,0,0
action,azione,1,0,0,0,0,0,0,0,0,0
actionable,processabile,0,1,1,0,1,0,0,0,0,0
active,attivo,0,0,0,0,0,0,0,0,0,0
activity,attività,0,0,0,0,0,0,0,0,0,0
actor,attore,0,0,0,0,0,0,0,0,0,0
actual,effettivo,1,0,0,0,0,0,0,0,0,0
actuality,attualità,0,0,0,0,0,0,0,0,0,0
actuary,attuario,0,0,0,0,0,0,0,0,0,0
acuity,acutezza,1,0,0,0,0,0,0,0,0,0
acumen,acume,1,0,0,0,0,0,0,0,0,0
acupuncture,agopuntura,0,0,0,0,0,0,0,0,0,0
acutely,acutamente,0,0,0,0,0,0,0,0,0,0
adage,adagio,0,0,0,0,0,0,0,0,0,0
adamant,inflessibile,0,0,0,0,0,0,0,0,0,0
adapt,adattare,1,0,0,0,0,0,0,0,0,0
adaptable,adattabile,1,0,0,0,0,0,0,0,0,0
add,Inserisci,0,0,0,0,0,0,0,0,0,0
added,aggiunto,0,0,0,0,0,0,0,0,0,0
addendum,appendice,0,0,0,0,0,0,0,0,0,0
adder,vipera,0,1,1,0,1,1,0,1,0,0
addiction,dipendenza,0,1,0,0,0,0,0,0,0,0
addition,aggiunta,0,0,0,0,0,0,0,0,0,0
additional,addizionale,0,0,0,0,0,0,0,0,0,0
additive,additivo,0,0,0,0,0,0,0,0,0,0
address,indirizzo,0,0,0,0,0,0,0,0,0,0
addressee,destinatario,0,0,0,0,0,0,0,0,0,0
addresses,indirizzi,1,0,0,1,0,0,0,0,0,0
adept,abile,1,0,0,0,0,0,0,0,0,0
adequacy,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
adequate,adeguato,0,0,0,0,0,0,0,0,0,0
adhere,aderire,0,0,0,0,0,0,0,0,0,0
adherence,aderenza,0,0,0,0,0,0,0,0,0,0
adherent,aderente,0,0,0,0,0,0,0,0,0,0
adhering,aderendo,0,0,0,0,0,0,0,0,0,1
adhesion,adesione,0,0,0,0,0,0,0,0,0,0
adhesive,adesivo,0,0,0,0,0,0,0,0,0,0
adieu,addio,0,0,0,0,0,0,0,0,0,0
adipose,adiposo,0,1,0,0,0,0,0,0,0,0
adjacency,adiacenza,0,0,0,0,0,0,0,0,0,0
adjacent,adiacente,0,0,0,0,0,0,0,0,0,0
adjective,aggettivo,0,0,0,0,0,0,0,0,0,0
adjoining,adiacente,0,0,0,0,0,0,0,0,0,0
adjourn,aggiornare,0,0,0,0,0,0,0,0,0,0
adjournment,aggiornamento,0,0,0,0,0,0,0,0,0,0
adjudicate,giudicare,0,1,0,0,0,1,0,0,0,0
adjudication,aggiudicazione,0,0,0,0,0,0,0,0,0,0
adjunct,aggiunta,1,0,0,0,0,0,0,0,0,0
adjust,regolare,0,0,0,0,0,0,0,0,0,0
adjustment,registrazione,0,0,0,0,0,0,0,0,0,0
adjuvant,adiuvante,0,0,0,0,0,0,0,0,0,0
administer,amministrare,0,0,0,0,0,0,0,0,0,0
administration,amministrazione,0,0,0,0,0,0,0,0,0,0
administrative,amministrativo,0,0,0,0,0,0,0,0,0,1
admirable,ammirevole,1,0,0,0,0,0,1,0,0,1
admiral,ammiraglio,1,0,0,0,0,0,0,0,0,1
admiralty,ammiragliato,0,0,0,0,0,0,0,0,0,0
admiration,ammirazione,1,0,0,0,0,0,1,0,0,1
admire,ammirare,1,0,0,0,0,0,0,0,0,1
admirer,ammiratore,1,0,0,0,0,0,0,0,0,0
admissibility,ammissibilità,0,0,0,0,0,0,0,0,0,0
admissible,ammissibile,1,0,0,0,0,0,0,0,0,1
admission,ammissione,0,0,0,0,0,0,0,0,0,0
admit,ammettere,0,0,0,0,0,0,0,0,0,0
admittance,ammissione,0,0,0,0,0,0,0,0,0,0
admitted,ammesso,0,0,0,0,0,0,0,0,0,0
admitting,ammettendo,0,0,0,0,0,0,0,0,0,0
admixture,miscuglio,0,0,0,0,0,0,0,0,0,0
admonition,ammonizione,0,1,0,0,0,1,0,0,0,0
ado,rumore,0,0,0,0,0,0,0,0,0,0
adobe,adobe,0,0,0,0,0,0,0,0,0,0
adolescence,adolescenza,0,0,0,0,0,0,0,0,0,0
adolescent,adolescente,0,0,0,0,0,0,0,0,0,0
adopt,adottare,0,0,0,0,0,0,0,0,0,0
adoption,adozione,0,0,0,0,0,0,0,0,0,0
adorable,adorabile,1,0,0,0,0,0,1,0,0,0
adoration,adorazione,1,0,0,0,0,0,1,0,0,1
adore,adorare,1,0,0,1,0,0,1,0,0,1
adorn,adornare,0,0,0,0,0,0,0,0,0,0
adornment,ornamento,0,0,0,0,0,0,0,0,0,0
adrift,alla deriva,0,1,0,1,0,1,0,1,0,0
adult,adulto,0,0,0,0,0,0,0,0,0,0
adulterated,alterato,0,1,0,0,0,0,0,0,0,0
adultery,adulterio,0,1,0,0,1,0,0,1,0,0
advance,avanzare,1,0,0,1,0,1,1,0,1,0
advanced,Avanzate,1,0,0,0,0,0,0,0,0,0
advancement,avanzamento,1,0,0,0,0,0,0,0,0,0
advancing,avanzando,0,0,0,0,0,0,0,0,0,0
advantage,vantaggio,1,0,0,0,0,0,0,0,0,0
advantageous,vantaggioso,1,0,0,0,0,0,0,0,0,0
advent,Avvento,1,0,0,1,0,0,1,0,0,1
adventure,avventura,1,0,0,1,0,0,0,0,0,0
adventurer,avventuriero,0,0,0,0,0,0,0,0,0,0
adventurous,avventuroso,1,0,0,0,0,0,0,0,0,0
adversary,avversario,0,1,1,0,0,0,0,0,0,0
adverse,avverso,0,1,1,0,1,1,0,1,0,0
adversity,avversità,0,1,1,0,0,1,0,1,0,0
advertise,pubblicizzare,0,0,0,0,0,0,0,0,0,0
advertisement,annuncio pubblicitario,0,0,0,0,0,0,0,0,0,0
advice,consigli,0,0,0,0,0,0,0,0,0,1
advisable,consigliabile,1,0,0,0,0,0,0,0,0,1
advise,consigliare,1,0,0,0,0,0,0,0,0,1
advised,consigliato,0,0,0,0,0,0,0,0,0,1
advisement,seria considerazione,0,0,0,0,0,0,0,0,0,0
adviser,consigliere,1,0,0,0,0,0,0,0,0,1
advocacy,patrocinio,1,0,1,1,0,0,1,0,0,1
advocate,avvocato,0,0,0,0,0,0,0,0,0,1
aegis,egida,0,0,0,0,0,0,0,0,0,0
aeration,aerazione,0,0,0,0,0,0,0,0,0,0
aerial,aereo,0,0,0,0,0,0,0,0,0,0
aerodrome,aerodromo,0,0,0,0,0,0,0,0,0,0
aerodynamics,aerodinamica,0,0,0,0,0,0,0,0,0,0
aeronautics,aeronautica,0,0,0,0,0,0,0,0,0,0
aeroplane,aereo,0,0,0,0,0,0,0,0,0,0
aesthetic,estetico,1,0,0,0,0,0,0,0,0,0
aesthetics,estetica,1,0,0,0,0,0,1,0,0,0
aetiology,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
afar,lontano,0,0,0,0,0,0,0,0,0,0
affable,affabile,1,0,0,0,0,0,0,0,0,0
affair,affare,0,0,0,0,0,0,0,0,0,0
affecting,che interessano,0,0,0,0,0,0,0,0,0,0
affection,affetto,1,0,0,0,0,0,1,0,0,1
affections,gli affetti,0,0,0,0,0,0,0,0,0,0
affiche,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
affidavit,affidavit,0,0,0,0,0,0,0,0,0,0
affiliated,affiliato,1,0,0,0,0,0,0,0,0,0
affiliation,affiliazione,0,0,0,0,0,0,0,0,0,0
affinity,affinità,0,0,0,0,0,0,0,0,0,0
affirm,affermare,1,0,0,0,0,0,0,0,0,1
affirmation,affermazione,1,0,0,0,0,0,0,0,0,0
affirmative,affermativa,1,0,0,0,0,0,0,0,0,0
affirmatively,affermativamente,1,0,0,0,0,0,0,0,0,1
affix,apporre,0,0,0,0,0,0,0,0,0,0
afflict,affliggere,0,1,0,0,0,1,0,1,0,0
afflicted,afflitto,0,1,0,0,0,0,0,0,0,0
affliction,afflizione,0,1,0,0,1,1,0,1,0,0
affluence,affluenza,1,0,0,0,0,0,1,0,0,0
affluent,affluente,1,0,0,0,0,0,0,0,0,0
afford,permettersi,1,0,0,0,0,0,0,0,0,0
affront,affronto,0,1,1,0,1,1,0,1,1,0
afield,lontano,0,0,0,0,0,0,0,0,0,0
afore,davanti a,0,0,0,0,0,0,0,0,0,0
aforementioned,summenzionato,0,0,0,0,0,0,0,0,0,0
aforesaid,predetto,0,0,0,0,0,0,0,0,0,0
afraid,impaurito,0,1,0,0,0,1,0,0,0,0
afresh,di nuovo,0,0,0,0,0,0,0,0,0,0
aft,a poppa,0,0,0,0,0,0,0,0,0,0
aftermath,conseguenze,0,1,1,0,1,1,0,1,0,0
afternoon,pomeriggio,0,0,0,0,0,0,0,0,0,0
aftertaste,retrogusto,0,1,0,0,0,0,0,0,0,0
afterthought,ripensamento,0,0,0,0,0,0,0,0,0,0
aga,NO TRANSLATION,1,0,0,0,0,1,0,0,0,1
agate,agata,0,0,0,0,0,0,0,0,0,0
age,età,0,0,0,0,0,0,0,0,0,0
aged,anziano,0,0,0,0,0,0,0,0,0,0
agency,agenzia,0,0,0,0,0,0,0,0,0,0
agent,agente,0,0,0,0,0,0,0,0,0,0
agglomeration,agglomerazione,0,0,0,0,0,0,0,0,0,0
aggravated,aggravato,0,1,1,0,0,0,0,0,0,0
aggravating,aggravante,0,1,1,0,0,0,0,1,0,0
aggravation,aggravamento,0,1,1,0,1,0,0,0,0,0
aggregate,aggregato,0,0,0,0,0,0,0,0,0,0
aggregation,aggregazione,0,0,0,0,0,0,0,0,0,0
aggression,aggressione,0,1,1,0,0,1,0,0,0,0
aggressive,aggressivo,0,1,1,0,0,1,0,0,0,0
aggressor,aggressore,0,1,1,0,0,1,0,0,0,0
aghast,inorridito,0,1,0,0,1,1,0,0,1,0
agile,agile,1,0,0,0,0,0,0,0,0,0
agility,agilità,1,0,0,0,0,0,0,0,0,0
agitated,agitato,0,1,1,0,0,0,0,0,0,0
agitation,agitazione,0,1,1,0,0,0,0,0,0,0
agnostic,agnostico,0,0,0,0,0,0,0,0,0,0
ago,fa,0,0,0,0,0,0,0,0,0,0
agonizing,agonizzante,0,1,0,0,0,1,0,0,0,0
agony,agonia,0,1,1,0,0,1,0,1,0,0
agree,essere d'accordo,1,0,0,0,0,0,0,0,0,0
agreeable,piacevole,1,0,0,0,0,0,0,0,0,1
agreed,concordato,1,0,0,0,0,0,0,0,0,1
agreeing,accettando,1,0,0,0,0,0,0,0,0,1
agreement,accordo,1,0,0,0,0,0,0,0,0,1
agricultural,agricolo,0,0,0,0,0,0,0,0,0,0
agriculture,agricoltura,1,0,0,0,0,0,0,0,0,0
aground,in secca,0,1,0,0,0,0,0,0,0,0
agua,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
ahead,avanti,1,0,0,0,0,0,0,0,0,0
aid,aiuto,1,0,0,0,0,0,0,0,0,0
aiding,favoreggiamento,1,0,0,0,0,0,0,0,0,0
ail,ail,0,1,0,0,0,0,0,1,0,0
ailing,malaticcio,0,1,0,0,0,1,0,1,0,0
ailment,malattia,0,0,0,0,0,0,0,0,0,0
aim,scopo,0,0,0,0,0,0,0,0,0,0
aimless,senza scopo,0,1,0,0,0,0,0,0,0,0
air,aria,0,0,0,0,0,0,0,0,0,0
airbag,airbag,0,0,0,0,0,0,0,0,0,0
airlift,ponte aereo,0,0,0,0,0,0,0,0,0,0
airline,linea aerea,0,0,0,0,0,0,0,0,0,0
airman,aviatore,0,0,0,0,0,0,0,0,0,0
airplane,aereo,0,0,0,0,0,0,0,0,0,0
airport,aeroporto,0,0,0,1,0,0,0,0,0,0
airs,arie,0,1,0,0,1,0,0,0,0,0
airship,dirigibile,0,0,0,0,0,0,0,0,0,0
aisle,corridoio,0,0,0,0,0,0,0,0,0,0
ait,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
ajar,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
akin,simile,0,0,0,0,0,0,0,0,0,1
alabaster,alabastro,1,0,0,0,0,0,0,0,0,0
alarm,allarme,0,1,0,0,0,1,0,0,1,0
alarming,allarmante,0,1,0,0,0,1,0,0,1,0
alb,NO TRANSLATION,0,0,0,0,0,0,0,0,0,1
album,album,0,0,0,0,0,0,0,0,0,0
alchemy,alchimia,0,0,0,0,0,0,0,0,0,0
alcohol,alcool,0,0,0,0,0,0,0,0,0,0
alcoholism,alcolismo,0,1,1,0,1,1,0,1,0,0
alcove,alcova,0,0,0,0,0,0,0,0,0,0
alert,mettere in guardia,0,0,0,0,0,0,0,0,0,0
alertness,vigilanza,1,0,0,1,0,1,0,0,1,0
alerts,avvisi,0,0,0,1,0,1,0,0,1,0
alfalfa,erba medica,0,0,0,0,0,0,0,0,0,0
algebra,algebra,0,0,0,0,0,0,0,0,0,0
algebraic,algebrico,0,0,0,0,0,0,0,0,0,0
algorithm,algoritmo,0,0,0,0,0,0,0,0,0,0
alibi,alibi,0,0,0,0,0,0,0,0,0,0
alien,alieno,0,1,0,0,1,1,0,0,0,0
alienate,alienare,0,1,1,0,1,0,0,0,0,0
alienated,alienato,0,1,0,0,0,0,0,1,0,0
alienation,alienazione,0,1,1,0,1,1,0,1,0,0
alight,scendere,0,0,0,0,0,0,0,0,0,0
aligned,Allineati,0,0,0,0,0,0,0,0,0,0
alignment,allineamento,0,0,0,0,0,0,0,0,0,0
alike,nello stesso modo,0,0,0,0,0,0,0,0,0,0
alimentation,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
alimony,alimenti,0,1,0,0,0,0,0,0,0,0
aliquot,aliquota,0,0,0,0,0,0,0,0,0,0
alive,vivo,1,0,0,1,0,0,1,0,0,1
alkali,alcali,0,0,0,0,0,0,0,0,0,0
alkaloids,alcaloidi,0,0,0,0,0,0,0,0,0,0
allay,alleviare,1,0,0,0,0,0,0,0,0,0
allegation,allegazione,0,1,1,0,0,0,0,0,0,0
allege,asserire,0,1,0,0,0,0,0,0,0,0
alleged,presunto,0,0,0,0,0,0,0,0,0,0
allegiance,fedeltà,1,0,0,0,0,0,0,0,0,1
allegorical,allegorico,0,0,0,0,0,0,0,0,0,0
allegory,allegoria,0,0,0,0,0,0,0,0,0,0
allegro,allegro,1,0,0,0,0,0,0,0,0,0
alleviate,alleviare,1,0,0,0,0,0,0,0,0,0
alleviation,Alleviazione,1,0,0,0,0,0,0,0,0,0
alley,vicolo,0,0,0,0,0,0,0,0,0,0
alliance,alleanza,0,0,0,0,0,0,0,0,0,1
allied,alleato,1,0,0,0,0,0,0,0,0,1
alligator,alligatore,0,0,0,0,0,0,0,0,0,0
allocate,assegnare,0,0,0,0,0,0,0,0,0,0
allocation,assegnazione,0,0,0,0,0,0,0,0,0,0
allot,assegnare,0,0,0,0,0,0,0,0,0,0
allotment,assegnazione,0,0,0,0,0,0,0,0,0,0
allowable,ammissibile,1,0,0,0,0,0,0,0,0,0
allowance,indennità,0,0,0,0,0,0,0,0,0,0
allowed,permesso,0,0,0,0,0,0,0,0,0,0
alloy,lega,0,0,0,0,0,0,0,0,0,0
allure,allettare,1,0,0,1,0,0,1,0,1,0
alluring,allettante,1,0,0,0,0,0,0,0,0,0
allusion,allusione,0,0,0,0,0,0,0,0,0,0
alluvial,alluvionale,0,0,0,0,0,0,0,0,0,0
ally,alleato,1,0,0,0,0,0,0,0,0,1
almanac,almanacco,0,0,0,0,0,0,0,0,0,0
almighty,onnipotente,1,0,0,0,0,0,0,0,0,0
aloft,in alto,0,0,0,0,0,0,0,0,0,0
aloha,Aloha,1,0,0,1,0,0,1,0,0,0
alongside,accanto,0,0,0,0,0,0,0,0,0,0
aloof,distaccato,0,1,0,0,0,0,0,0,0,0
aloud,a voce alta,0,0,0,0,0,0,0,0,0,0
alphabet,alfabeto,0,0,0,0,0,0,0,0,0,0
alphabetical,alfabetico,0,0,0,0,0,0,0,0,0,0
altar,altare,0,0,0,0,0,0,0,0,0,0
alter,alterare,0,0,0,0,0,0,0,0,0,0
alteration,alterazione,0,0,0,0,0,0,0,0,0,0
altercation,alterco,0,1,1,0,0,0,0,0,0,0
altered,alterato,0,0,0,0,0,0,0,0,0,0
alternate,alternato,0,0,0,0,0,0,0,0,0,0
alternative,alternativa,0,0,0,0,0,0,0,0,0,0
altitude,altitudine,0,0,0,0,0,0,0,0,0,0
alto,contralto,0,0,0,0,0,0,0,0,0,0
altogether,del tutto,0,0,0,0,0,0,0,0,0,0
alumnus,ex-alunno,0,0,0,0,0,0,0,0,0,0
alveolar,alveolare,0,0,0,0,0,0,0,0,0,0
amalgam,amalgama,0,0,0,0,0,0,0,0,0,0
amalgamation,fusione,0,0,0,0,0,0,0,0,0,0
amass,accumulare,0,0,0,0,0,0,0,0,0,0
amateur,dilettante,0,0,0,0,0,0,0,0,0,0
amaze,stupire,0,0,0,0,0,0,0,0,1,0
amazement,stupore,0,0,0,0,0,0,0,0,0,0
amazingly,incredibilmente,1,0,0,0,0,0,1,0,1,0
ambassador,ambasciatore,1,0,0,0,0,0,0,0,0,1
amber,ambra,0,0,0,0,0,0,0,0,0,0
ambient,ambientale,0,0,0,0,0,0,0,0,0,0
ambiguity,ambiguità,0,0,0,0,0,0,0,0,0,0
ambiguous,ambiguo,0,1,0,0,0,0,0,0,0,0
ambit,ambito,0,0,0,0,0,0,0,0,0,0
ambition,ambizione,1,0,0,1,0,0,1,0,0,1
ambitious,ambizioso,0,0,0,0,0,0,0,0,0,0
ambulance,ambulanza,0,0,0,0,0,1,0,0,0,1
ambush,imboscata,0,1,1,0,0,1,0,0,1,0
ameliorate,migliorare,1,0,0,0,0,0,0,0,0,0
amen,amen,1,0,0,0,0,0,1,0,0,1
amenable,docile,1,0,0,0,0,0,0,0,0,0
amend,emendare,1,0,0,0,0,0,0,0,0,0
amendment,emendamento,0,0,0,0,0,0,0,0,0,0
amends,ammenda,1,0,0,0,0,0,0,0,0,0
amenity,amenità,1,0,0,0,0,0,0,0,0,0
amethyst,ametista,0,0,0,0,0,0,0,0,0,0
amiable,amabile,1,0,0,0,0,0,0,0,0,0
amicable,amichevole,1,0,0,0,0,0,1,0,0,0
amid,tra,0,0,0,0,0,0,0,0,0,0
amidst,in mezzo a,0,0,0,0,0,0,0,0,0,0
ammonia,ammoniaca,0,0,0,0,1,0,0,0,0,0
ammunition,cartucce,0,0,0,0,0,0,0,0,0,0
amnesia,amnesia,0,1,0,0,0,0,0,0,0,0
amnesty,amnistia,1,0,0,0,0,0,1,0,0,0
amorphous,amorfo,0,0,0,0,0,0,0,0,0,0
amortization,ammortamento,0,0,0,0,0,0,0,0,0,1
amount,quantità,0,0,0,0,0,0,0,0,0,0
amour,NO TRANSLATION,1,0,0,1,0,0,1,0,0,1
ampersand,ampersand,0,0,0,0,0,0,0,0,0,0
amphetamines,anfetamine,0,1,0,0,1,0,0,0,0,0
amphibian,anfibio,0,0,0,0,0,0,0,0,0,0
amphibious,anfibio,0,0,0,0,0,0,0,0,0,0
amphitheater,anfiteatro,0,0,0,0,0,0,0,0,0,0
amplification,amplificazione,0,0,0,0,0,0,0,0,0,0
amplify,amplificare,0,0,0,0,0,0,0,0,0,0
amplitude,ampiezza,0,0,0,0,0,0,0,0,0,0
amply,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
